"date","value"
2021-01-28 17:29:52,2160
2021-01-28 17:29:11,2160
2021-01-28 17:24:09,2160
2021-01-28 17:23:59,2220
2021-01-28 17:23:07,2220
2021-01-28 17:18:06,2220
2021-01-28 17:17:55,2160
2021-01-28 17:14:07,2160
2021-01-28 17:13:56,2100
2021-01-28 17:13:04,2100
2021-01-28 17:08:03,2100
2021-01-28 17:07:52,2040
2021-01-28 17:07:11,2040
2021-01-28 17:02:09,2040
2021-01-28 17:01:59,2100
2021-01-28 16:58:00,2100
2021-01-28 16:57:49,2160
2021-01-28 16:54:00,2160
2021-01-28 16:53:50,2220
2021-01-28 16:52:06,2220
2021-01-28 16:51:56,2160
2021-01-28 16:48:07,2160
2021-01-28 16:47:57,2100
2021-01-28 16:44:08,2100
2021-01-28 16:43:58,2040
2021-01-28 16:42:04,2040
2021-01-28 16:41:53,1980
2021-01-28 16:40:09,1980
2021-01-28 16:39:59,2040
2021-01-28 16:38:05,2040
2021-01-28 16:37:54,2100
2021-01-28 16:36:00,2100
2021-01-28 16:35:49,2160
2021-01-28 16:32:01,2160
2021-01-28 16:31:50,2220
2021-01-28 16:30:06,2220
2021-01-28 16:29:56,2160
2021-01-28 16:26:07,2160
2021-01-28 16:25:57,2100
2021-01-28 16:25:05,2100
2021-01-28 16:20:04,2100
2021-01-28 16:19:53,2040
2021-01-28 16:18:09,2040
2021-01-28 16:17:59,2100
2021-01-28 16:17:07,2100
2021-01-28 16:12:06,2100
2021-01-28 16:11:55,2040
2021-01-28 16:08:07,2040
2021-01-28 16:07:56,1860
2021-01-28 16:05:10,1860
2021-01-28 16:00:09,1860
2021-01-28 15:59:58,1800
2021-01-28 15:58:04,1800
2021-01-28 15:57:53,1860
2021-01-28 15:56:09,1860
2021-01-28 15:55:59,1800
2021-01-28 15:54:05,1800
2021-01-28 15:53:54,1740
2021-01-28 15:52:00,1740
2021-01-28 15:51:49,1680
2021-01-28 15:50:06,1680
2021-01-28 15:49:55,1800
2021-01-28 15:49:03,1800
2021-01-28 15:44:02,1800
2021-01-28 15:43:51,1740
2021-01-28 15:42:08,1740
2021-01-28 15:41:57,1800
2021-01-28 15:40:03,1800
2021-01-28 15:39:53,1680
2021-01-28 15:39:01,1680
2021-01-28 15:33:59,1680
2021-01-28 15:33:49,1740
2021-01-28 15:33:07,1740
2021-01-28 15:28:06,1740
2021-01-28 15:27:55,1800
2021-01-28 15:27:04,1800
2021-01-28 15:22:02,1800
2021-01-28 15:21:52,1740
2021-01-28 15:20:08,1740
2021-01-28 15:19:57,1860
2021-01-28 15:18:03,1860
2021-01-28 15:17:53,1800
2021-01-28 15:14:04,1800
2021-01-28 15:13:53,1740
2021-01-28 15:12:09,1740
2021-01-28 15:11:59,1800
2021-01-28 15:10:05,1800
2021-01-28 15:09:55,1740
2021-01-28 15:09:03,1740
2021-01-28 15:04:02,1740
2021-01-28 15:03:51,1800
2021-01-28 15:03:10,1800
2021-01-28 14:58:08,1800
2021-01-28 14:57:58,1740
2021-01-28 14:56:03,1740
2021-01-28 14:55:53,1800
2021-01-28 14:54:09,1800
2021-01-28 14:53:59,1740
2021-01-28 14:51:02,1740
2021-01-28 14:46:00,1740
2021-01-28 14:45:50,1680
2021-01-28 14:44:06,1680
2021-01-28 14:43:56,1740
2021-01-28 14:42:01,1740
2021-01-28 14:41:51,1680
2021-01-28 14:38:02,1680
2021-01-28 14:37:52,1740
2021-01-28 14:37:10,1740
2021-01-28 14:32:09,1740
2021-01-28 14:31:58,1800
2021-01-28 14:29:02,1800
2021-01-28 14:24:00,1800
2021-01-28 14:23:50,1740
2021-01-28 14:23:08,1740
2021-01-28 14:18:07,1740
2021-01-28 14:17:56,1680
2021-01-28 14:15:09,1680
2021-01-28 14:10:08,1680
2021-01-28 14:09:57,1620
2021-01-28 14:08:03,1620
2021-01-28 14:07:53,1680
2021-01-28 14:06:09,1680
2021-01-28 14:05:58,1620
2021-01-28 14:04:04,1620
2021-01-28 14:03:54,1680
2021-01-28 14:02:10,1680
2021-01-28 14:01:59,1620
2021-01-28 14:00:05,1620
2021-01-28 13:59:55,1680
2021-01-28 13:56:06,1680
2021-01-28 13:55:56,1740
2021-01-28 13:52:07,1740
2021-01-28 13:47:05,1740
2021-01-28 13:42:04,1740
2021-01-28 13:41:53,1800
2021-01-28 13:40:09,1800
2021-01-28 13:39:59,1740
2021-01-28 13:37:02,1740
2021-01-28 13:32:01,1740
2021-01-28 13:31:50,1680
2021-01-28 13:30:06,1680
2021-01-28 13:29:55,1740
2021-01-28 13:29:03,1740
2021-01-28 13:24:02,1740
2021-01-28 13:23:52,1800
2021-01-28 13:22:08,1800
2021-01-28 13:21:57,1860
2021-01-28 13:18:09,1860
2021-01-28 13:17:58,1920
